time,msg,codes,model,count,num_rows,rows
time,msg,codes,model,count,num_rows,rows
2020-07-12 04:16:16,,{48}0e10fb9696b6;{0},BRAVO,1,2,;
2020-07-12 04:16:29,,{48}0e10fb9696b6;{0},BRAVO,1,2,;
2020-07-12 04:16:41,,{48}0e10fb9595b8;{0},BRAVO,1,2,;
2020-07-12 04:16:53,,{48}0e10fb9695b7;{0},BRAVO,1,2,;
2020-07-12 04:17:06,,{48}0e10fb9595b8;{0},BRAVO,1,2,;
2020-07-12 04:17:18,,{48}0e10fb9594b9;{0},BRAVO,1,2,;
2020-07-12 04:17:30,,{48}0e10fb9494ba;{0},BRAVO,1,2,;
2020-07-12 04:17:43,,{48}0e10fb9494ba;{0},BRAVO,1,2,;
2020-07-12 04:17:55,,{48}0e10fb9492bc;{0},BRAVO,1,2,;
2020-07-12 04:18:08,,{48}0e10fb9498b6;{0},BRAVO,1,2,;
2020-07-12 04:18:20,,{48}0e10fb9b97b0;{0},BRAVO,1,2,;
2020-07-12 04:18:32,,{48}0e10fb9492bc;{0},BRAVO,1,2,;
2020-07-12 04:18:45,,{48}0e10fb9190c1;{0},BRAVO,1,2,;
2020-07-12 04:18:57,,{48}0e10fb9090c2;{0},BRAVO,1,2,;
2020-07-12 04:19:09,,{48}0e10fb8f8fc4;{0},BRAVO,1,2,;
2020-07-12 04:19:22,,{48}0e10fb8f95be;{0},BRAVO,1,2,;
2020-07-12 04:19:34,,{48}0e10fb9b97b0;{0},BRAVO,1,2,;
2020-07-12 04:19:46,,{48}0e10fb9a9fa9;{0},BRAVO,1,2,;
2020-07-12 04:19:59,,{48}0e10fb9d9da8;{0},BRAVO,1,2,;
2020-07-12 04:20:11,,{48}0e10fb9d9da8;{0},BRAVO,1,2,;
2020-07-12 04:20:23,,{48}0e10fb9d9da8;{0},BRAVO,1,2,;
2020-07-12 04:20:36,,{48}0e10fb9d9da8;{0},BRAVO,1,2,;
2020-07-12 04:20:48,,{48}0e10fb9d9da8;{0},BRAVO,1,2,;
2020-07-12 04:21:01,,{48}0e10fb9d9da8;{0},BRAVO,1,2,;
2020-07-12 04:21:13,,{48}0e10fb9d9ca9;{0},BRAVO,1,2,;
2020-07-12 04:21:25,,{48}0e10fb9c9aac;{0},BRAVO,1,2,;
2020-07-12 04:21:38,,{48}0e10fb9594b9;{0},BRAVO,1,2,;
2020-07-12 04:21:50,,{48}0e10fb9191c0;{0},BRAVO,1,2,;
2020-07-12 04:22:02,,{48}0e10fb9091c1;{0},BRAVO,1,2,;
2020-07-12 04:22:15,,{48}0e10fb9292be;{0},BRAVO,1,2,;
2020-07-12 04:22:27,,{48}0e10fb9295bb;{0},BRAVO,1,2,;
2020-07-12 04:22:39,,{48}0e10fb898acf;{0},BRAVO,1,2,;
2020-07-12 04:22:52,,{48}0e10fb898acf;{0},BRAVO,1,2,;
